date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,1.3,-1.1,5.5,0,,116.3,4.4,14.8,1033.7,
2020-01-02,-0.1,-4,5,0,,158.3,10.8,20.4,1027.9,
2020-01-03,6.8,5,8,7.9,,217.9,24.7,38.9,1017.9,
2020-01-04,4.3,3,5,5.8,,268.4,18,42.6,1026.4,
2020-01-05,4.4,2,6,0.1,,236.4,10.5,16.7,1033,
2020-01-06,4.8,3,6,0,,189.6,15.7,16.7,1025.6,
2020-01-07,4.8,2.4,6.9,1.3,,214.7,9.6,22.2,1025.3,
2020-01-08,8.6,6,10,7.1,,205.1,19.7,25.9,1022.4,
2020-01-09,10.8,8,12,16.4,,186.6,18.7,31.5,1014.4,
2020-01-10,7.6,3,11,5.9,,241.7,17.5,31.5,1016.8,
2020-01-11,3.4,1,5,0,,210,15.4,22.2,1029.6,
2020-01-12,4.4,2,7,0.1,,204.6,24.2,37,1021.5,
2020-01-13,6.7,5.7,7.7,0.9,,193.6,12.1,35.2,1018.7,
2020-01-14,10.1,8,11,1.7,,195,33.7,44.5,1007.6,
2020-01-15,11.5,9,13,0.7,,205.3,29.5,44.5,1012.7,
2020-01-16,7.2,4,11,0,,170.8,13.8,25.9,1024.5,
2020-01-17,8.3,6,11,1.1,,185.3,17.3,27.8,1016.6,
2020-01-18,4,2,6,1.8,,238.5,15.7,29.6,1022.9,
2020-01-19,2.5,1,4,1.9,,277.5,8.1,16.7,1035.5,
2020-01-20,2.3,-1,5,0,,223.1,5.4,9.3,1045.4,
2020-01-21,0.2,-4,5,0,,190.6,7.9,13,1040.7,
2020-01-22,0.6,-2,2,0,,242.4,7.3,11.1,1035.2,
2020-01-23,1.4,-2,3,0,,131.1,9,13,1031,
2020-01-24,-1.8,-4,-1,0,,195.7,6.3,13,1022.8,
2020-01-25,-1.4,-2,0,0,,162.4,6.3,13,1021,
2020-01-26,2.7,-3,9,0,,145.7,12.5,18.5,1015.8,
2020-01-27,7.1,5,9,8.9,,187.6,22.9,31.5,1006.6,
2020-01-28,4.4,2,7,7.8,,217.3,27.6,53.7,994,
2020-01-29,3.4,2,5,2,,245.8,23.3,46.3,1004.6,
2020-01-30,7.1,3,10,0.6,,219.1,27,40.8,1007,
2020-01-31,11,10,12,4.1,,243.9,23,50,1006.7,
2020-02-01,10,7,11,15.8,,231.5,22.4,44.5,1004,
2020-02-02,7.8,6,11,8.4,,238.4,19.3,44.5,1007.1,
2020-02-03,8.7,6,10,6.8,,251.2,22,46.3,1009.1,
2020-02-04,3.2,1,5,9.3,,270.4,15.4,35.2,1011.7,
2020-02-05,2.5,1,5,0,,264.7,10.6,20.4,1032.1,
2020-02-06,3.7,3,5,0,,258.4,10.1,18.5,1030.9,
2020-02-07,4,2,6,0,,126.8,14.9,27.8,1026.6,
2020-02-08,6.3,1,10,0,,161.6,18.1,22.2,1020.1,
2020-02-09,10.1,7,12,3.4,,195.4,38.8,75.9,1005.7,
2020-02-10,6.7,4,12,18.8,,239.1,38.4,75.9,992.9,
2020-02-11,3.2,1,5,5.1,,249.2,31.6,64.8,1000.8,
2020-02-12,3.4,2,5,1,,247.9,27.8,59.3,1010.8,
2020-02-13,3.4,2,5,5.6,,174.4,21.5,38.9,1005.5,
2020-02-14,5.3,5,6,3.1,,238.9,15,27.8,1016.3,
2020-02-15,8.5,3,12,0,,165.2,18.5,38.9,1017.5,
2020-02-16,13.3,8,16,4.3,,208.8,41.2,63,1004.6,
2020-02-17,7.2,5,10,5,,227.5,28,50,1011.7,
2020-02-18,5.8,5,7,4.1,,231.8,29.6,51.8,1018.3,
2020-02-19,4.3,2,6,7.1,,238.3,22.3,42.6,1016.2,
2020-02-20,6.5,3,9,5.8,,205,27.9,51.8,1014,
2020-02-21,5.3,3,8,2.9,,246.1,24.3,51.8,1021.9,
2020-02-22,7.9,4,11,2.6,,230,31.1,61.1,1018.1,
2020-02-23,8.4,4,12,34.1,,254.5,28.1,74.1,1012.9,
2020-02-24,6.3,3,11,10.4,,219.8,23.2,48.2,1013.2,
2020-02-25,6.9,2,10,5.8,,245.6,23.9,53.7,997.9,
2020-02-26,1.9,0,3,10.4,,247.8,17.9,35.2,996.4,
2020-02-27,1.8,0,4,4.2,,223.2,13.2,27.8,1000.7,
2020-02-28,2.6,0,5,3.2,,223.9,20.6,38.9,1011.6,
2020-02-29,8,4,13,4.2,,197.9,30.8,50,994.6,
2020-03-01,6,3,9,2.9,,200,24.4,51.8,993.6,
2020-03-02,5.9,3,10,8,,175,13.3,25.9,991.3,
2020-03-03,4.4,1,8,6.5,,250.6,14,35.2,1000.6,
2020-03-04,4.2,2,7,1.7,,211.1,13.9,27.8,1008.9,
2020-03-05,4.8,2,7,8.2,,124.2,15.7,38.9,997.2,
